Excitation Wavelength (nm),Par Avg,Perp Avg,Perp Corrected,Anisotropy,Relative Energy (eV)
499,131632.17177894496,150629.54169364704,133302.46905230256,-0.00419422809151568,0.3580402657802737
500,127136.68509087399,145565.7197106836,129108.95573661481,-0.00511806700458738,0.35307032590051435
501,122576.67104810037,140333.60333312314,123785.76407903261,-0.0032665106395906056,0.3481202261001153
502,118233.88766834955,135217.97539198713,119570.89918121888,-0.0037411932739994727,0.343189847812865
503,112710.29510897458,129897.5009934569,114884.72943526004,-0.006349088671722351,0.33827907341542485
504,109756.94629900284,125660.55997682275,110939.91032115757,-0.0035670472639846114,0.3333877862179748
505,106132.7890542333,121676.14412275064,107383.26066144217,-0.0038967724977012927,0.32851587045496977
506,103213.73635965392,117401.67257899298,103902.3037888125,-0.0022139125957709865,0.3236632112760085
507,99995.36752102814,113871.29649850765,100529.22468723936,-0.0017732947939886768,0.31882969473680633
508,97706.53948869399,111402.11719396968,98273.27612918009,-0.0019260176235404629,0.31401520779027825
509,94457.99490396446,108166.2109992534,95256.44211487916,-0.0028018554504301856,0.3092196382777246
510,92086.86628025322,105808.2147898251,93276.31487053038,-0.004268772400400018,0.304442874920122
511,90794.3530590499,103459.04936418669,91329.92678566997,-0.001958549964250409,0.2996848073095162
512,89632.16944468694,101905.89817972858,90044.58963645756,-0.001529060245811045,0.29494532590051437
513,88840.6084934711,101596.12847399847,89817.53855811896,-0.0036388027557477136,0.29022432200187875
514,87848.84227950076,100190.87985545793,88387.70067930354,-0.002036315314101386,0.2855216877682185
515,87292.26518868803,99994.06774633685,88130.29441154613,-0.003179738751076611,0.2808373161917763
516,86987.00728631968,99615.8561949212,87620.45535779436,-0.002415639327426857,0.27617110109431264
517,86745.31634669994,99738.37627648299,88381.4556064507,-0.006209063280123567,0.2715229371190828
518,87387.83158156225,99329.93169619681,87671.29140812623,-0.0010788999332782899,0.2668927197229083
519,87217.43764289276,100135.80183246524,88488.48217305215,-0.0048110199178721495,0.2622803451683371
520,88351.74607458695,100689.19102451313,89088.04291962285,-0.0027625514369319063,0.25768571051589895
521,88641.4333647433,101474.8425721538,89626.18640642035,-0.003675908210525323,0.25310871361644516
522,89159.18989984143,102068.0121792539,90212.12906999933,-0.003905800514882847,0.24854925310357956
523,89740.7452495903,103295.4010261556,90922.18053582561,-0.00435014755499097,0.24400722838617384
524,90675.6369953352,103159.13262822936,91059.10406992031,-0.0014057028097356852,0.23948253964097255
525,91801.0747676743,104083.82953496512,92094.01134017321,-0.0010614063207843745,0.23497508780527632
